1382591497,ottomaass-230-3__mcgill-standard__otto-mass-119-230;,ottomaass-230-11__mcgill-standard__otto-mass-119-230;,ottomaass-230-15__mcgill-standard__otto-mass-119-230;,ottomaass-230-4__mcgill-standard__otto-mass-119-230;,ottomaass-230-5__mcgill-standard__otto-mass-119-230;,ottomaass-230-10__mcgill-standard__otto-mass-119-230;,ottomaass-230-14__mcgill-standard__otto-mass-119-230;,ottomaass-230-6__mcgill-standard__otto-mass-119-230;,ottomaass-230-7__mcgill-standard__otto-mass-119-230;,ottomaass-230-9__mcgill-standard__otto-mass-119-230;,ottomaass-230-19__mcgill-standard__otto-mass-119-230;,ottomaass-230-13__mcgill-standard__otto-mass-119-230;,ottomaass-230-8__mcgill-standard__otto-mass-119-230;,ottomaass-230-18__mcgill-standard__otto-mass-119-230;,ottomaass-230-1__mcgill-standard__otto-mass-119-230;,ottomaass-230-12__mcgill-standard__otto-mass-119-230;,ottomaass-230-16__mcgill-standard__otto-mass-119-230;,ottomaass-230-2__mcgill-standard__otto-mass-119-230;,ottomaass-230-17__mcgill-standard__otto-mass-119-230;
2013-12-04 07:00:00-05:00,371.14582361111115,301.4861111111111,220.84027777777777,335.4166504629628,446.05552638888884,200.0,345.96526805555544,205.04166666666666,522.9097222222221,200.0,235.03471249999998,200.0,454.6597125,,273.19444444444446,200.0,254.8032310185185,308.0972125,369.2013694444445
2013-12-04 08:00:00-05:00,371.14582361111115,301.4861111111111,221.49247685185182,335.52603032407404,446.05552638888884,200.0,345.96526805555544,204.96874756944442,522.9097222222221,200.0,200.0,200.0,454.6597125,,273.1944444444445,200.0,254.77487453703705,308.0972125,369.2013694444445
2013-12-04 09:00:00-05:00,371.14582361111115,301.4861111111111,221.95833333333331,335.5624902777778,446.05552638888884,200.0,345.96526805555544,205.04166666666666,522.9097222222221,200.0,200.0,200.0,454.6597125,,273.3402777777778,200.0,254.91665694444433,308.0972125,369.2013694444445
2013-12-04 10:00:00-05:00,371.14582361111115,301.4861111111111,221.95833333333331,335.5624902777778,446.05552638888884,200.0,345.96526805555544,205.04166666666666,522.9097222222221,200.0,200.0,200.0,454.6597125,,273.3402777777778,200.0,254.91665694444433,308.0972125,369.2013694444445
2013-12-04 11:00:00-05:00,371.14582361111115,301.4861111111111,221.95833333333331,335.5624902777778,446.05552638888884,200.0,345.96526805555544,205.04166666666666,522.9097222222221,200.0,200.0,200.0,454.6597125,,273.3402777777778,200.0,254.91665694444433,308.0972125,369.2013694444445
2013-12-04 12:00:00-05:00,354.28992326388897,301.1944420138888,221.67881944444443,335.5624902777778,446.05552638888884,200.0,345.96526805555544,204.96874756944442,522.9097222222221,200.0,217.14582361111118,200.0,447.3680458333333,,273.3402777777778,226.53992326388885,270.5694371527777,308.0972125,369.4808881944445
2013-12-04 13:00:00-05:00,303.7222222222223,300.31943472222224,220.93749756944442,335.5624902777778,446.05552638888884,200.0,346.0746479166666,204.74999027777778,522.9097222222221,200.0,217.21874270833337,200.0,425.4930458333333,,273.19444444444446,368.9097189814815,316.6203695601852,308.0972125,370.0399256944445
2013-12-04 14:00:00-05:00,303.7222222222223,300.31943472222224,220.9699041666667,405.1574057870371,359.8518307870371,200.0,347.01040208333325,204.9930539351852,522.9097222222221,200.0,212.25230671296296,337.3772969907409,478.56017546296295,,272.9027777777777,492.98147175925936,285.7847108796296,308.0972125,370.1330986111113
2013-12-04 15:00:00-05:00,303.7222222222223,300.31943472222224,221.22915694444444,419.07638888888897,342.6110916666667,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,365.55553611111117,489.1736013888889,,273.2309027777778,493.3541569444444,279.9513791666667,308.0972125,370.3194444444445
2013-12-04 16:00:00-05:00,303.7222222222223,300.31943472222224,221.22915694444444,419.07638888888897,342.6110916666667,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,365.55553611111117,489.1736013888889,,273.3402777777778,493.3541569444444,280.0972125,308.0972125,370.3194444444445
2013-12-04 17:00:00-05:00,206.80381944444449,300.9027729166666,221.03471736111112,288.0613425925927,405.39235138888887,200.0,347.13192499999997,204.89582847222223,522.9097222222221,200.0,200.0,277.77197939814806,501.16030011574065,,392.53875532407415,236.17708171296297,299.09605509259256,237.1857590277777,370.3194444444445
2013-12-04 18:00:00-05:00,200.0,301.4861111111111,220.84027777777777,276.30555555555566,411.22569120370366,200.0,347.13192499999997,204.74999027777778,522.9097222222221,200.0,205.47916666666666,260.2152680555555,502.2499999999998,,403.37498055555557,200.0,298.9016106481481,230.44097060185186,370.3194444444445
2013-12-04 19:00:00-05:00,208.49304907407404,301.4861111111111,221.09953055555553,275.5601851851852,411.1527712962963,200.0,347.13192499999997,204.74999027777778,522.9097222222221,200.0,200.0,260.44211990740746,398.3518583333332,,403.37498055555557,200.0,278.9305458333334,229.57407083333334,370.3194444444445
2013-12-04 20:00:00-05:00,213.41897175925928,301.4861111111111,221.06712395833335,275.34953298611106,411.2986111111111,200.0,347.13192499999997,204.74999027777778,522.9097222222221,200.0,200.0,260.41376342592594,346.2204877314814,,403.37498055555557,200.0,278.9305458333334,229.60647743055551,370.3194444444445
2013-12-04 21:00:00-05:00,212.96526805555555,301.4861111111111,221.0023107638889,275.25231319444447,411.2986111111111,200.0,347.13192499999997,204.89582847222223,522.9097222222221,200.0,200.0,260.4988328703704,345.96526805555544,,403.37498055555557,200.0,278.1406152777778,229.83332361111104,370.3194444444445
2013-12-04 22:00:00-05:00,212.96526805555555,301.4861111111111,220.9699041666667,275.18750000000006,411.1163113425926,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.30033749999996,345.96526805555544,,403.37498055555557,200.0,277.9826291666666,229.83332361111104,369.76040694444447
2013-12-04 23:00:00-05:00,212.96526805555555,301.4861111111111,220.9699041666667,275.18750000000006,411.2986111111111,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.3286939814814,345.96526805555544,,403.37498055555557,200.0,277.92591620370365,229.83332361111104,369.2013694444445
2013-12-05 00:00:00-05:00,212.96526805555555,301.4861111111111,221.16434375,275.18750000000006,411.2986111111111,200.0,347.13192499999997,204.92013483796296,522.9097222222221,200.0,200.0,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,278.0960550925927,229.83332361111104,369.2013694444445
2013-12-05 01:00:00-05:00,212.96526805555555,301.4861111111111,221.22915694444444,275.18750000000006,411.2986111111111,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,278.15276805555555,229.83332361111104,369.2013694444445
2013-12-05 02:00:00-05:00,212.96526805555555,301.4861111111111,220.90509097222224,275.18750000000006,411.2986111111111,200.0,347.13192499999997,204.7986030092593,522.9097222222221,200.0,200.0,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,277.98262916666664,229.83332361111104,369.2013694444445
2013-12-05 03:00:00-05:00,212.7951291666667,301.4861111111111,220.84027777777777,275.18750000000006,411.2986111111111,200.0,347.13192499999997,205.01736030092596,522.9097222222221,200.0,200.0,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,278.15276805555555,229.83332361111104,369.2013694444445
2013-12-05 04:00:00-05:00,212.96526805555555,301.4861111111111,220.84027777777777,275.18750000000006,411.2986111111111,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,278.15276805555555,229.83332361111104,369.2013694444445
2013-12-05 05:00:00-05:00,212.96526805555555,301.4861111111111,220.84027777777777,275.5115659722222,411.2986111111111,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,277.8692032407408,229.83332361111104,369.34720925925916
2013-12-05 06:00:00-05:00,212.96526805555555,301.4861111111111,220.84027777777777,275.44675277777776,411.2986111111111,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.3286939814815,345.96526805555544,,403.37498055555557,200.0,277.92591620370365,229.83332361111104,369.4930490740741
2013-12-05 07:00:00-05:00,212.96526805555555,301.4861111111111,221.16434375,275.18750000000006,411.1163113425926,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.41376342592594,345.96526805555544,,403.37498055555557,200.0,278.01098564814816,229.83332361111104,369.383669212963
2013-12-05 08:00:00-05:00,212.93691157407412,301.4861111111111,221.03471736111112,275.21990659722223,411.2986111111111,200.0,347.13192499999997,204.89582847222223,522.9097222222221,200.0,200.0,260.2152680555555,346.0017280092591,,403.37498055555557,200.0,278.15276805555555,229.83332361111104,369.2013694444445
2013-12-05 09:00:00-05:00,212.62499027777784,301.4861111111111,220.84027777777777,275.3171263888889,411.2986111111111,200.0,347.13192499999997,205.04166666666666,522.9097222222221,200.0,200.0,260.2152680555555,346.1111078703702,,403.37498055555557,200.0,300.38426250000003,229.83332361111104,369.2013694444445
2013-12-05 10:00:00-05:00,212.99767546296297,301.4861111111111,220.84027777777777,300.2870337962964,459.4884226851852,200.0,347.13192499999997,204.94444120370372,493.3055490740739,276.3177091435185,200.0,260.35705046296295,345.96526805555544,,403.37498055555557,200.0,311.50000972222233,229.83332361111104,369.57406111111123
2013-12-05 11:00:00-05:00,213.4837865740741,301.4861111111111,221.19675034722223,333.8732517361111,558.5862260416667,200.0,347.13192499999997,204.92013483796296,433.8541569444444,200.0,243.2418981481482,260.2152680555555,345.96526805555544,,403.37498055555557,200.0,311.232621875,229.83332361111104,370.3194444444445
2013-12-05 12:00:00-05:00,212.96526805555555,301.4861111111111,220.90509097222224,302.6041666666667,558.8333333333335,200.0,347.13192499999997,204.74999027777778,433.36806527777776,200.0,200.0,260.2152680555555,345.96526805555544,,355.0069282407408,200.0,650.0,229.83332361111104,370.3194444444445
2013-12-05 13:00:00-05:00,212.96526805555555,301.4861111111111,220.84027777777777,302.6041666666667,558.8333333333335,200.0,347.13192499999997,204.74999027777778,433.36806527777776,200.0,200.0,260.2152680555555,345.96526805555544,,258.2708236111111,200.0,650.0,229.83332361111104,370.3194444444445
2013-12-05 14:00:00-05:00,212.96526805555555,301.4861111111111,220.84027777777777,302.6041666666667,558.8333333333335,200.0,347.13192499999997,204.74999027777778,433.36806527777776,200.0,200.0,260.2152680555555,345.96526805555544,,258.2708236111111,200.0,650.0,229.83332361111104,370.3194444444445
2013-12-05 15:00:00-05:00,235.7152680555556,383.93054583333327,220.84027777777777,354.55323749999997,547.1018550925927,200.0,347.13192499999997,316.6851722222222,433.23843240740734,200.0,200.0,316.1666569444444,392.84258287037034,,258.2708236111111,200.0,608.2222092592593,306.18518194444437,366.3333365740741
2013-12-05 16:00:00-05:00,308.7332224537037,402.9536980324074,220.9699041666667,262.29744398148136,501.72336018518513,200.0,347.13192499999997,537.7563462962966,433.10879953703693,200.0,238.09722222222229,358.13424953703696,496.975670138889,,258.2708236111111,216.44907083333334,334.2985981481482,458.8888986111111,358.36112083333336
2013-12-05 17:00:00-05:00,310.77083333333326,267.7662020833334,220.90509097222224,244.4652680555555,413.3564685185186,200.0,347.13192499999997,473.3425731481481,433.23843240740734,200.0,244.78124351851855,217.5752298611111,503.04396527777783,,258.2708236111111,216.8541569444444,276.42708333333337,374.27315462962946,358.36112083333336
2013-12-05 18:00:00-05:00,310.77083333333326,267.70138888888897,220.84027777777777,244.4652680555555,412.41664722222225,200.0,347.13192499999997,334.4444249999999,432.97916666666663,200.0,259.8263694444445,217.14582361111118,512.7986013888889,,258.2708236111111,216.7083236111111,264.7361111111111,205.47916666666666,358.36112083333336
2013-12-05 19:00:00-05:00,310.77083333333326,267.70138888888897,220.84027777777777,244.4652680555555,411.85762916666664,200.0,347.13192499999997,334.22568472222224,432.97916666666663,200.0,200.0,217.14582361111118,512.2395638888888,,258.2708236111111,216.14929583333335,275.3819444444445,205.47916666666666,358.36112083333336
2013-12-05 20:00:00-05:00,302.89583333333337,268.0902680555555,221.86516203703698,244.3356416666667,411.2986111111111,200.0,347.13192499999997,334.15277129629624,433.10879953703693,200.0,200.0,217.24304907407412,511.68052638888884,,258.2708236111111,215.88193472222224,285.3755673611112,205.72221898148155,358.36112083333336
2013-12-05 21:00:00-05:00,287.14583333333337,267.8958284722222,222.08795972222225,244.40045486111103,410.934011574074,200.0,347.13192499999997,334.07985787037046,433.36806527777776,200.0,200.0,217.43750000000006,511.68052638888884,,258.2708236111111,215.73610138888887,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-05 22:00:00-05:00,287.14583333333337,267.7986086805556,222.3472125,244.4652680555555,411.1892312500001,200.0,347.13192499999997,334.00694444444446,433.36806527777776,200.0,200.0,217.43750000000006,511.68052638888884,,258.2708236111111,216.02776805555553,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-05 23:00:00-05:00,287.14583333333337,267.70138888888897,222.18517951388884,244.4652680555555,411.2986111111111,200.0,347.13192499999997,334.298598148148,433.36806527777776,200.0,200.0,217.43750000000006,511.68052638888884,,258.1736046296296,216.01561527777778,286.02777777777794,206.09489768518523,358.36112083333336
2013-12-06 00:00:00-05:00,287.14583333333337,267.70138888888897,222.02314652777773,244.4652680555555,411.2986111111111,200.0,347.13192499999997,334.2621414351851,433.36806527777776,200.0,200.0,217.3159681712964,511.68052638888884,,258.2708236111111,215.77661064814822,286.02777777777794,206.20832361111113,358.2395809027778
2013-12-06 01:00:00-05:00,287.14583333333337,267.70138888888897,221.95833333333331,244.4652680555555,411.2986111111111,200.0,347.13192499999997,334.1892280092593,433.36806527777776,200.0,200.0,217.43750000000006,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 02:00:00-05:00,287.14583333333337,267.70138888888897,221.7760392361111,244.4652680555555,411.18923125,200.0,347.13192499999997,334.3350548611109,433.36806527777776,200.0,200.0,217.36458090277782,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 03:00:00-05:00,286.12094907407413,267.89582847222226,221.22915694444444,244.4652680555555,411.26215115740746,200.0,347.13192499999997,334.2256847222222,433.36806527777776,200.0,200.0,217.14582361111118,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 04:00:00-05:00,286.02777777777794,267.70138888888897,220.90509097222224,244.4652680555555,411.2986111111111,200.0,347.13192499999997,333.83679907407395,433.36806527777776,200.0,200.0,217.24304907407412,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 05:00:00-05:00,286.02777777777794,267.89582847222226,220.84027777777777,244.78934212962966,410.934011574074,200.0,347.13192499999997,334.24998217592577,433.36806527777776,200.0,200.0,217.19443634259267,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 06:00:00-05:00,286.02777777777794,267.70138888888897,220.84027777777777,244.85415694444444,410.86109166666665,200.0,347.2291496527778,334.1527607638888,433.36806527777776,200.0,200.0,217.14582361111118,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 07:00:00-05:00,286.86631944444457,267.70138888888897,220.84027777777777,244.56249027777773,411.1892312500001,200.0,347.5208236111111,333.2777680555555,433.36806527777776,200.0,200.0,217.14582361111118,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 08:00:00-05:00,286.95949074074076,267.70138888888897,220.84027777777777,244.4652680555555,411.2986111111111,200.0,347.5208236111111,333.2777680555555,433.36806527777776,200.0,200.0,217.14582361111118,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 09:00:00-05:00,286.67997685185196,267.70138888888897,220.84027777777777,254.51966701388886,411.2986111111111,200.0,347.5208236111111,333.2777680555555,433.36806527777776,200.0,200.0,217.14582361111118,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 10:00:00-05:00,287.14583333333337,267.70138888888897,220.84027777777777,365.11805555555554,411.2986111111111,200.0,347.5208236111111,333.2777680555555,433.36806527777776,200.0,200.0,217.14582361111118,511.68052638888884,,258.2708236111111,215.59026805555558,286.02777777777794,206.20832361111113,358.36112083333336
2013-12-06 11:00:00-05:00,287.14583333333337,302.4704861111111,220.84027777777777,354.24131458333324,434.315967361111,200.0,347.4235989583333,333.2777680555555,433.36806527777776,200.0,200.0,217.14582361111118,512.9808736111112,,258.2708236111111,294.96005729166666,286.02777777777794,238.34027129629627,358.36112083333336
2013-12-06 12:00:00-05:00,287.14583333333337,406.7777777777778,220.84027777777777,321.61109166666665,503.368036111111,200.0,347.13192499999997,333.2777680555555,433.36806527777776,200.0,211.11805555555554,217.14582361111118,515.4843579861113,,295.45832361111115,532.7251003472222,286.02777777777794,349.29107986111103,358.36112083333336
2013-12-06 13:00:00-05:00,286.18981076388894,518.1944233796297,221.22915694444444,384.5908370370371,503.368036111111,200.0,347.13192499999997,333.2777680555555,433.36806527777776,200.0,211.11805555555554,217.43750000000006,513.1024248842592,,347.09547071759266,532.1660798611109,286.4166569444444,414.6527583333332,358.36112083333336
2013-12-06 14:00:00-05:00,286.02777777777794,310.46294999999986,221.06712395833335,337.1342398148147,502.80090648148155,200.0,517.3518486111111,383.509257638889,433.36806527777776,200.0,211.11805555555554,349.76097916666663,513.1024248842592,,410.3304284722223,434.43748379629625,286.09259097222235,462.71699849537043,358.36112083333336
